query_template,params,startup_cost,total_cost,plan_rows,plan_width,num_nodes,plan_depth,num_relations,n_seq_scan,n_index_scan,n_bitmap_scan,n_hash_join,n_merge_join,n_nested_loop,n_sort,n_aggregate,n_gather,n_materialize,workers_planned,sum_est_rows,max_est_rows,est_scan_rows,sum_est_width,cost_per_est_row,startup_cost_frac,n_joins,planning_time_ms,execution_time_ms,actual_root_rows,query_id
Q4,"{""date"": ""1995-07-01""}",71128.56,71173.12,5,24,8,6,2,0,1,2,0,0,1,1,2,1,0,2,92045,56857,23696,128,11862.186666666666,0.9993598796866052,1,0.46,325.875,5.0,12
Q5,"{""region"": ""EUROPE"", ""date"": ""1996-01-01""}",86627.09,86627.15,25,58,19,12,6,4,2,0,3,0,2,2,2,1,0,2,196898,76480,72546,588,3331.8134615384615,0.9999877637927164,5,2.325,859.44,5.0,13
Q14,"{""date"": ""1994-10-01""}",115332.92,115332.93,1,32,8,5,2,1,0,2,1,0,0,0,2,1,0,2,305848,83333,114988,259,57666.465,0.999991242819871,1,0.316,221.774,1.0,14
Q18,"{""q"": 315}",668941.18,668941.43,100,71,16,11,3,2,2,0,1,1,1,4,2,1,0,2,9178588,6003120,6778088,528,6623.182475247525,0.9999981313788093,3,1.083,4885.475,9.0,15
Q8,"{""nation"": ""SAUDI ARABIA"", ""region"": ""MIDDLE EAST"", ""type"": ""MEDIUM BRUSHED STEEL""}",75782.26,76160.36,2406,64,21,9,7,4,4,0,3,0,4,1,1,1,0,2,36157,16554,637,522,31.641196510178645,0.9950224103141014,7,2.827,401.023,2.0,16
Q22,"{""codes"": ""'10', '14', '20', '24', '31', '32', '34'""}",13017.65,13121.34,733,72,10,4,2,2,1,0,0,0,1,1,3,2,0,4,4814,1988,2734,318,17.876485013623977,0.9920220021733929,1,0.386,113.703,7.0,17
Q3,"{""segment"": ""HOUSEHOLD"", ""date"": ""1995-03-04""}",204645.71,204645.73,10,44,11,8,3,2,1,0,1,0,1,2,1,1,0,2,1632384,324550,314451,256,18604.157272727272,0.9999950158011319,2,0.673,663.928,10.0,18
Q18,"{""q"": 315}",668941.18,668941.43,100,71,16,11,3,2,2,0,1,1,1,4,2,1,0,2,9178588,6003120,6778088,528,6623.182475247525,0.9999981313788093,3,1.065,4880.556,9.0,19
Q15,"{""date"": ""1996-02-01""}",148754.41,149286.19,50,103,11,6,2,0,1,2,0,0,1,1,3,1,0,2,384199,225964,104200,434,2927.1801960784314,0.9964311740344232,1,0.353,413.947,1.0,20
Q19,"{""b1"": ""Brand#53"", ""b2"": ""Brand#35"", ""b3"": ""Brand#21"", ""q1"": 6, ""q2"": 19, ""q3"": 26}",32914.43,32914.44,1,32,6,4,2,1,1,0,0,0,1,0,2,1,0,2,255,203,204,159,16457.22,0.999969315312206,1,0.655,92.789,1.0,21
Q11,"{""nation"": ""PERU""}",10179.8,10206.47,10667,36,15,5,3,2,2,4,0,0,4,1,2,0,0,0,87897,32000,962,192,0.9567369703787026,0.9972892401349208,4,0.621,199.713,741.0,22
Q13,"{""w1"": ""unusual"", ""w2"": ""deposits""}",143633.17,143633.67,200,16,10,8,2,1,1,0,1,0,0,2,3,1,0,2,2147426,606013,668513,104,714.5953731343284,0.9999895568388886,1,0.591,1046.954,41.0,23
Q18,"{""q"": 312}",668875.7,668875.95,100,71,16,11,3,2,2,0,1,1,1,4,2,1,0,2,9176093,6001215,6776183,528,6622.534158415841,0.9999981311958799,3,1.147,4964.846,10.0,24
Q17,"{""brand"": ""Brand#34"", ""container"": ""LG CAN""}",195999.3,195999.31,1,32,9,4,2,2,0,2,1,0,0,0,2,1,0,2,6003729,6001215,6001327,106,97999.655,0.9999948469469258,1,0.359,1873.358,1.0,25
Q10,"{""date"": ""1993-11-01""}",195163.8,195163.85,20,202,16,10,4,3,0,2,3,0,0,2,1,1,0,2,1090240,599455,686131,1716,9293.516666666666,0.9999946199328413,3,1.195,941.036,20.0,26
Q9,"{""color"": ""orange""}",55523.44,55541.31,120,90,16,9,6,3,3,0,2,0,3,1,1,1,0,2,359129,333333,337570,575,459.0190909090909,0.9996602589989506,5,3.302,3584.224,175.0,27
Q6,"{""date"": ""1996-01-01"", ""discount"": 0.08, ""quantity"": 25}",169016.6,169016.61,1,32,5,4,1,0,0,2,0,0,0,0,2,1,0,2,993502,940583,52915,108,84508.305,0.9999940242913151,0,0.117,555.492,1.0,28
Q14,"{""date"": ""1997-12-01""}",116394.15,116394.17,1,32,8,5,2,1,0,2,1,0,0,0,2,1,0,2,310033,83333,115940,259,58197.085,0.9999912367497723,1,0.339,220.127,1.0,29
Q10,"{""date"": ""1994-05-01""}",194662.69,194662.74,20,202,16,10,4,3,0,2,3,0,0,2,1,1,0,2,1078172,599455,685334,1716,9269.654285714285,0.9999946060832902,3,1.026,820.183,20.0,30
Q1,"{""delta"": 92}",230993.08,230995.34,6,236,5,4,1,1,0,0,0,0,0,1,2,1,0,2,2461304,2461272,2461272,969,32999.334285714285,0.9999858872222823,0,0.243,2775.589,4.0,31
Q9,"{""color"": ""honeydew""}",50006.61,50020.91,96,90,16,9,6,3,3,0,2,0,3,1,1,1,0,2,353980,333333,336728,575,515.6794845360826,0.9996941340304678,5,3.53,3376.553,175.0,32
Q13,"{""w1"": ""special"", ""w2"": ""packages""}",144891.89,144892.39,200,16,10,8,2,1,1,0,1,0,0,2,3,1,0,2,2185176,624888,687388,104,720.8576616915424,0.9999896475608722,1,0.376,1058.419,42.0,33
Q2,"{""size"": 11, ""type"": ""BRASS"", ""region"": ""MIDDLE EAST""}",56881.44,56881.44,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343307,160000,10453,1634,28440.72,0.9999824198821289,7,1.474,589.651,100.0,34
Q1,"{""delta"": 99}",230792.81,230795.07,6,236,5,4,1,1,0,0,0,0,0,1,2,1,0,2,2455582,2455550,2455550,969,32970.724285714285,0.9999858749761207,0,0.215,2757.666,4.0,35
Q7,"{""nation1"": ""PERU"", ""nation2"": ""CHINA""}",70152.04,71047.39,6113,116,17,8,5,2,4,0,2,0,3,1,1,1,1,2,439603,146890,72704,754,11.62044324501145,0.9873839505722789,5,2.098,5556.652,4.0,36
Q17,"{""brand"": ""Brand#13"", ""container"": ""MED BAG""}",196002.04,196002.06,1,32,9,4,2,2,0,2,1,0,0,0,2,1,0,2,6003977,6001215,6001336,106,98001.03,0.9999947959996135,1,0.461,1801.824,1.0,37
Q22,"{""codes"": ""'11', '18', '19', '22', '23', '25', '31'""}",13017.65,13121.34,733,72,10,4,2,2,1,0,0,0,1,1,3,2,0,4,4814,1988,2734,318,17.876485013623977,0.9920220021733929,1,0.403,106.753,7.0,38
Q16,"{""brand"": ""Brand#23"", ""typeprefix"": ""STANDARD PLATED"", ""sizes"": ""2, 7, 16, 17, 22, 31, 38, 41""}",35814.64,35854.55,15967,44,9,6,3,2,1,0,1,0,0,2,1,1,0,2,331776,166667,178999,300,2.2454001753507016,0.998859032980947,1,0.41,728.504,18310.0,39
Q14,"{""date"": ""1994-04-01""}",115800.02,115800.03,1,32,8,5,2,1,0,2,1,0,0,0,2,1,0,2,307659,83333,115400,259,57900.015,0.9999912781432083,1,0.303,211.313,1.0,40
Q7,"{""nation1"": ""RUSSIA"", ""nation2"": ""BRAZIL""}",70152.04,71047.39,6113,116,17,8,5,2,4,0,2,0,3,1,1,1,1,2,439603,146890,72704,754,11.62044324501145,0.9873839505722789,5,1.687,5345.853,4.0,41
Q4,"{""date"": ""1995-08-01""}",71004.92,71049.21,5,24,8,6,2,0,1,2,0,0,1,1,2,1,0,2,91462,56496,23546,128,11841.535000000002,0.9993625634604034,1,0.372,310.025,5.0,42
Q17,"{""brand"": ""Brand#31"", ""container"": ""SM PACK""}",196001.63,196001.64,1,32,9,4,2,2,0,2,1,0,0,0,2,1,0,2,6003940,6001215,6001335,106,98000.82,0.9999948470081831,1,0.345,1843.042,1.0,43
Q14,"{""date"": ""1994-09-01""}",113371.5,113371.51,1,32,8,5,2,1,0,2,1,0,0,0,2,1,0,2,298674,83333,113356,259,56685.755,0.999991091314817,1,0.368,240.673,1.0,44
Q20,"{""color"": ""papaya"", ""date"": ""1997-01-01"", ""nation"": ""GERMANY""}",173752.44,173752.71,108,51,15,7,5,2,1,5,1,0,2,1,1,0,0,0,7164,2693,2423,328,1594.0615596330274,0.9999926908035518,3,0.716,1861.548,179.0,45
Q17,"{""brand"": ""Brand#23"", ""container"": ""SM CAN""}",195999.43,195999.45,1,32,9,4,2,2,0,2,1,0,0,0,2,1,0,2,6003742,6001215,6001328,106,97999.725,0.9999947959303154,1,0.393,1840.624,1.0,46
Q2,"{""size"": 6, ""type"": ""NICKEL"", ""region"": ""AFRICA""}",58522.36,58522.37,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343402,160000,10481,1634,29261.185,0.9999827419371099,7,1.394,606.457,100.0,47
Q19,"{""b1"": ""Brand#12"", ""b2"": ""Brand#31"", ""b3"": ""Brand#44"", ""q1"": 3, ""q2"": 20, ""q3"": 29}",32802.3,32802.31,1,32,6,4,2,1,1,0,0,0,1,0,2,1,0,2,253,202,203,159,16401.155,0.9999692104241921,1,0.524,78.128,1.0,48
Q10,"{""date"": ""1995-01-01""}",194990.83,194990.88,20,202,16,10,4,3,0,2,3,0,0,2,1,1,0,2,1086157,599455,685861,1716,9285.28,0.999994615160385,3,1.013,846.175,20.0,49
Q16,"{""brand"": ""Brand#45"", ""typeprefix"": ""PROMO ANODIZED"", ""sizes"": ""18, 31, 32, 34, 38, 45, 46, 48""}",35629.67,35669.27,15839,44,9,6,3,2,1,0,1,0,0,2,1,1,0,2,329112,166667,178776,300,2.251847853535353,0.9988617972333823,1,0.692,728.414,18182.0,50
Q2,"{""size"": 26, ""type"": ""BRASS"", ""region"": ""AFRICA""}",57346.21,57346.21,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343334,160000,10461,1634,28673.105,0.999982562360052,7,1.354,603.697,100.0,51
Q10,"{""date"": ""1993-05-01""}",194639.72,194639.77,20,202,16,10,4,3,0,2,3,0,0,2,1,1,0,2,1077604,599455,685296,1716,9268.560476190476,0.9999946054467418,3,0.996,881.991,20.0,52
Q17,"{""brand"": ""Brand#11"", ""container"": ""LG CAN""}",195995.72,195995.74,1,32,9,4,2,2,0,2,1,0,0,0,2,1,0,2,6003408,6001215,6001317,106,97997.87,0.9999947958318083,1,0.382,1790.714,1.0,53
Q1,"{""delta"": 101}",230735.59,230737.84,6,236,5,4,1,1,0,0,0,0,0,1,2,1,0,2,2453947,2453915,2453915,969,32962.54857142857,0.9999859148117413,0,0.21,2762.893,4.0,54
Q4,"{""date"": ""1996-02-01""}",70520.11,70563.37,5,24,8,6,2,0,1,2,0,0,1,1,2,1,0,2,89285,55151,22986,128,11760.561666666666,0.9993727712725275,1,0.371,295.366,5.0,55
Q2,"{""size"": 6, ""type"": ""STEEL"", ""region"": ""AFRICA""}",53601.59,53601.59,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343117,160000,10397,1634,26800.795,0.9999813441850478,7,1.41,578.899,100.0,56
Q2,"{""size"": 20, ""type"": ""NICKEL"", ""region"": ""AFRICA""}",60577.13,60577.14,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343521,160000,10516,1634,30288.57,0.9999833273190626,7,1.356,511.13,100.0,57
Q1,"{""delta"": 67}",231589.2,231591.46,6,236,5,4,1,1,0,0,0,0,0,1,2,1,0,2,2478336,2478304,2478304,969,33084.49428571428,0.9999859235486338,0,0.218,2772.014,4.0,58
Q2,"{""size"": 25, ""type"": ""BRASS"", ""region"": ""EUROPE""}",56881.44,56881.44,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343307,160000,10453,1634,28440.72,0.9999824198821289,7,1.386,537.679,100.0,59
Q18,"{""q"": 312}",668875.7,668875.95,100,71,16,11,3,2,2,0,1,1,1,4,2,1,0,2,9176093,6001215,6776183,528,6622.534158415841,0.9999981311958799,3,1.174,4779.606,10.0,60
Q8,"{""nation"": ""CANADA"", ""region"": ""AMERICA"", ""type"": ""SMALL PLATED TIN""}",75778.7,76156.66,2406,64,21,9,7,4,4,0,3,0,4,1,1,1,0,2,36143,16549,637,522,31.639659326963027,0.9950240067775191,7,2.535,338.037,2.0,61
Q2,"{""size"": 39, ""type"": ""NICKEL"", ""region"": ""MIDDLE EAST""}",60014.52,60014.52,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343488,160000,10506,1634,30007.26,0.9999833376433296,7,1.379,611.246,100.0,62
Q1,"{""delta"": 98}",230821.44,230823.7,6,236,5,4,1,1,0,0,0,0,0,1,2,1,0,2,2456400,2456368,2456368,969,32974.81428571429,0.9999858767280971,0,0.21,2750.534,4.0,63
Q20,"{""color"": ""mint"", ""date"": ""1995-01-01"", ""nation"": ""BRAZIL""}",173752.44,173752.71,108,51,15,7,5,2,1,5,1,0,2,1,1,0,0,0,7164,2693,2423,328,1594.0615596330274,0.9999926908035518,3,0.665,1643.097,180.0,64
Q13,"{""w1"": ""express"", ""w2"": ""deposits""}",144475.09,144475.59,200,16,10,8,2,1,1,0,1,0,0,2,3,1,0,2,2172676,618638,681138,104,718.7840298507463,0.9999896176951574,1,0.388,1099.173,42.0,65
Q12,"{""m1"": ""MAIL"", ""m2"": ""AIR"", ""date"": ""1995-01-01""}",210259.78,210497.01,7,27,8,6,2,2,0,0,1,0,0,1,2,1,0,2,671982,624951,636701,185,26312.12625,0.9988682553341003,1,0.561,731.809,2.0,66
Q8,"{""nation"": ""PERU"", ""region"": ""AMERICA"", ""type"": ""ECONOMY POLISHED STEEL""}",75778.7,76156.66,2406,64,21,9,7,4,4,0,3,0,4,1,1,1,0,2,36143,16549,637,522,31.639659326963027,0.9950240067775191,7,2.366,340.807,2.0,67
Q21,"{""nation"": ""ROMANIA""}",72876.29,72876.3,1,34,17,11,4,3,3,0,1,0,4,2,1,1,0,2,492655,305684,315908,432,36438.15,0.9999861410892005,5,2.35,3239.141,100.0,68
Q13,"{""w1"": ""special"", ""w2"": ""deposits""}",144891.89,144892.39,200,16,10,8,2,1,1,0,1,0,0,2,3,1,0,2,2185176,624888,687388,104,720.8576616915424,0.9999896475608722,1,0.401,1036.54,42.0,69
Q18,"{""q"": 312}",668875.7,668875.95,100,71,16,11,3,2,2,0,1,1,1,4,2,1,0,2,9176093,6001215,6776183,528,6622.534158415841,0.9999981311958799,3,1.011,4851.386,10.0,70
Q2,"{""size"": 30, ""type"": ""STEEL"", ""region"": ""ASIA""}",54653.43,54653.44,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343178,160000,10415,1634,27326.72,0.9999815202570916,7,1.415,578.353,100.0,71
Q8,"{""nation"": ""PERU"", ""region"": ""AMERICA"", ""type"": ""ECONOMY ANODIZED COPPER""}",75778.7,76156.66,2406,64,21,9,7,4,4,0,3,0,4,1,1,1,0,2,36143,16549,637,522,31.639659326963027,0.9950240067775191,7,2.424,349.738,2.0,72
Q1,"{""delta"": 119}",230113.36,230115.61,6,236,5,4,1,1,0,0,0,0,0,1,2,1,0,2,2436169,2436137,2436137,969,32873.65857142857,0.9999858767257175,0,0.159,2752.622,4.0,73
Q3,"{""segment"": ""BUILDING"", ""date"": ""1995-03-07""}",202358.79,202358.82,10,44,11,8,3,2,1,0,1,0,1,2,1,1,0,2,1614016,319828,315108,256,18396.256363636363,0.9999949100567495,2,0.664,659.415,10.0,74
Q7,"{""nation1"": ""JAPAN"", ""nation2"": ""IRAQ""}",70152.04,71047.39,6113,116,17,8,5,2,4,0,2,0,3,1,1,1,1,2,439603,146890,72704,754,11.62044324501145,0.9873839505722789,5,1.673,5405.408,4.0,75
Q12,"{""m1"": ""AIR"", ""m2"": ""SHIP"", ""date"": ""1997-01-01""}",210324.33,210575.64,7,27,8,6,2,2,0,0,1,0,0,1,2,1,0,2,674798,624951,637405,185,26321.955,0.9988018139144018,1,0.377,707.572,2.0,76
Q17,"{""brand"": ""Brand#41"", ""container"": ""LG BAG""}",196000.26,196000.27,1,32,9,4,2,2,0,2,1,0,0,0,2,1,0,2,6003816,6001215,6001330,106,98000.135,0.9999948469721651,1,0.343,1814.979,1.0,77
Q3,"{""segment"": ""FURNITURE"", ""date"": ""1995-03-22""}",201487.52,201487.55,10,44,11,8,3,2,1,0,1,0,1,2,1,1,0,2,1607692,317118,319131,256,18317.05,0.9999948880469883,2,0.64,652.892,10.0,78
Q21,"{""nation"": ""INDONESIA""}",72876.29,72876.3,1,34,17,11,4,3,3,0,1,0,4,2,1,1,0,2,492655,305684,315908,432,36438.15,0.9999861410892005,5,2.368,3264.413,100.0,79
Q5,"{""region"": ""EUROPE"", ""date"": ""1994-01-01""}",86447.59,86447.65,25,58,19,12,6,4,2,0,3,0,2,2,2,1,0,2,195834,75676,72546,588,3324.9096153846153,0.9999877383857354,5,2.338,1493.318,5.0,80
Q22,"{""codes"": ""'11', '18', '21', '23', '24', '29', '33'""}",13017.65,13121.34,733,72,10,4,2,2,1,0,0,0,1,1,3,2,0,4,4814,1988,2734,318,17.876485013623977,0.9920220021733929,1,0.406,181.028,7.0,81
Q19,"{""b1"": ""Brand#44"", ""b2"": ""Brand#45"", ""b3"": ""Brand#25"", ""q1"": 9, ""q2"": 20, ""q3"": 28}",32016.94,32016.95,1,32,6,4,2,1,1,0,0,0,1,0,2,1,0,2,244,195,196,159,16008.475,0.9999684551946642,1,0.56,90.299,1.0,82
Q22,"{""codes"": ""'10', '19', '20', '21', '23', '24', '34'""}",13017.65,13121.34,733,72,10,4,2,2,1,0,0,0,1,1,3,2,0,4,4814,1988,2734,318,17.876485013623977,0.9920220021733929,1,0.385,96.999,7.0,83
Q14,"{""date"": ""1996-05-01""}",117813.89,117813.9,1,32,8,5,2,1,0,2,1,0,0,0,2,1,0,2,316034,83333,117305,259,58906.95,0.9999914272303418,1,0.303,238.858,1.0,84
Q15,"{""date"": ""1994-02-01""}",149148.74,149680.52,50,103,11,6,2,0,1,2,0,0,1,1,3,1,0,2,375802,220037,101730,434,2934.9121568627447,0.9964405759642205,1,0.237,519.229,1.0,85
Q3,"{""segment"": ""AUTOMOBILE"", ""date"": ""1995-03-21""}",201768.61,201768.63,10,44,11,8,3,2,1,0,1,0,1,2,1,1,0,2,1609999,317752,318908,256,18342.602727272726,0.999994944729789,2,0.694,805.795,10.0,86
Q2,"{""size"": 47, ""type"": ""NICKEL"", ""region"": ""AMERICA""}",59549.75,59549.75,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343461,160000,10498,1634,29774.875,0.9999832076002402,7,1.435,639.705,100.0,87
Q3,"{""segment"": ""MACHINERY"", ""date"": ""1995-03-01""}",204189.42,204189.44,10,44,11,8,3,2,1,0,1,0,1,2,1,1,0,2,1628282,323778,313587,256,18562.676363636365,0.9999950046632938,2,0.695,750.556,10.0,88
Q13,"{""w1"": ""unusual"", ""w2"": ""packages""}",144054.1,144054.6,200,16,10,8,2,1,1,0,1,0,0,2,3,1,0,2,2160050,612325,674825,104,716.689552238806,0.9999895873537717,1,0.373,1092.241,42.0,89
Q12,"{""m1"": ""AIR"", ""m2"": ""RAIL"", ""date"": ""1997-01-01""}",210318.27,210568.26,7,27,8,6,2,2,0,0,1,0,0,1,2,1,0,2,674534,624951,637339,185,26321.0325,0.9988080406418296,1,0.398,872.237,2.0,90
Q17,"{""brand"": ""Brand#22"", ""container"": ""MED JAR""}",196000.81,196000.82,1,32,9,4,2,2,0,2,1,0,0,0,2,1,0,2,6003866,6001215,6001332,106,98000.41,0.9999948469866249,1,0.358,2304.836,1.0,91
Q22,"{""codes"": ""'11', '15', '18', '26', '32', '33', '34'""}",13017.65,13121.34,733,72,10,4,2,2,1,0,0,0,1,1,3,2,0,4,4814,1988,2734,318,17.876485013623977,0.9920220021733929,1,0.338,199.531,7.0,92
Q15,"{""date"": ""1996-07-01""}",148851.75,149383.52,50,103,11,6,2,0,1,2,0,0,1,1,3,1,0,2,391296,230974,106287,434,2929.0886274509803,0.9964335662088682,1,0.23,463.534,1.0,93
Q22,"{""codes"": ""'10', '15', '18', '19', '20', '27', '31'""}",13017.65,13121.34,733,72,10,4,2,2,1,0,0,0,1,1,3,2,0,4,4814,1988,2734,318,17.876485013623977,0.9920220021733929,1,0.402,215.259,7.0,94
Q18,"{""q"": 313}",668875.7,668875.95,100,71,16,11,3,2,2,0,1,1,1,4,2,1,0,2,9176093,6001215,6776183,528,6622.534158415841,0.9999981311958799,3,1.016,5316.54,9.0,95
Q9,"{""color"": ""navy""}",33064.27,33071.42,48,90,15,8,6,2,4,0,1,0,4,1,1,1,0,2,8669,6733,1715,571,674.9269387755102,0.9997535711024472,5,3.719,3992.721,175.0,96
Q8,"{""nation"": ""CANADA"", ""region"": ""AMERICA"", ""type"": ""MEDIUM POLISHED TIN""}",75778.7,76156.66,2406,64,21,9,7,4,4,0,3,0,4,1,1,1,0,2,36143,16549,637,522,31.639659326963027,0.9950240067775191,7,2.551,389.855,2.0,97
Q6,"{""date"": ""1997-01-01"", ""discount"": 0.06, ""quantity"": 24}",169031.57,169031.58,1,32,5,4,1,0,0,2,0,0,0,0,2,1,0,2,992746,942155,50587,108,84515.79,0.9999940248205407,0,0.455,673.824,1.0,98
Q7,"{""nation1"": ""JORDAN"", ""nation2"": ""PERU""}",70152.04,71047.39,6113,116,17,8,5,2,4,0,2,0,3,1,1,1,1,2,439603,146890,72704,754,11.62044324501145,0.9873839505722789,5,1.686,5354.372,4.0,99
Q10,"{""date"": ""1993-09-01""}",195742.14,195742.19,20,202,16,10,4,3,0,2,3,0,0,2,1,1,0,2,1104345,599455,687062,1716,9321.056666666667,0.9999946358287101,3,1.013,878.732,20.0,100
Q16,"{""brand"": ""Brand#22"", ""typeprefix"": ""PROMO BURNISHED"", ""sizes"": ""1, 10, 26, 31, 33, 42, 49, 50""}",35866.51,35906.51,16003,44,9,6,3,2,1,0,1,0,0,2,1,1,0,2,332522,166667,179061,300,2.2435959760059987,0.9988581775790079,1,0.45,802.108,18227.0,101
Q9,"{""color"": ""cornflower""}",43023.96,43034.68,72,90,15,8,6,2,4,0,1,0,4,1,1,1,0,2,12978,10102,2557,571,589.5161643835617,0.9997276678328307,5,3.395,3700.528,175.0,102
Q14,"{""date"": ""1996-03-01""}",118355.73,118355.74,1,32,8,5,2,1,0,2,1,0,0,0,2,1,0,2,318461,83333,117857,259,59177.87,0.9999914664766872,1,0.35,325.379,1.0,103
Q11,"{""nation"": ""ROMANIA""}",10179.8,10206.47,10667,36,15,5,3,2,2,4,0,0,4,1,2,0,0,0,87897,32000,962,192,0.9567369703787026,0.9972892401349208,4,0.644,207.799,925.0,104
Q20,"{""color"": ""goldenrod"", ""date"": ""1993-01-01"", ""nation"": ""VIETNAM""}",173752.44,173752.71,108,51,15,7,5,2,1,5,1,0,2,1,1,0,0,0,7164,2693,2423,328,1594.0615596330274,0.9999926908035518,3,0.655,1663.117,177.0,105
Q4,"{""date"": ""1995-06-01""}",71825.85,71871.87,5,24,8,6,2,0,1,2,0,0,1,1,2,1,0,2,95182,58794,24504,128,11978.644999999999,0.9993457893082607,1,0.372,302.597,5.0,106
Q10,"{""date"": ""1993-12-01""}",194503.04,194503.09,20,202,16,10,4,3,0,2,3,0,0,2,1,1,0,2,1074196,599455,685071,1716,9262.051904761905,0.9999946016559343,3,1.105,867.853,20.0,107
Q20,"{""color"": ""lime"", ""date"": ""1997-01-01"", ""nation"": ""MOZAMBIQUE""}",173752.44,173752.71,108,51,15,7,5,2,1,5,1,0,2,1,1,0,0,0,7164,2693,2423,328,1594.0615596330274,0.9999926908035518,3,0.709,1623.24,173.0,108
Q4,"{""date"": ""1996-09-01""}",71370.85,71415.92,5,24,8,6,2,0,1,2,0,0,1,1,2,1,0,2,93135,57530,23977,128,11902.653333333334,0.999354914773698,1,0.376,296.996,5.0,109
Q1,"{""delta"": 62}",231647.2,231649.45,6,236,5,4,1,1,0,0,0,0,0,1,2,1,0,2,2479993,2479961,2479961,969,33092.77857142857,0.9999859702409385,0,0.21,2861.974,4.0,110
Q6,"{""date"": ""1997-01-01"", ""discount"": 0.03, ""quantity"": 25}",169038.96,169038.97,1,32,5,4,1,0,0,2,0,0,0,0,2,1,0,2,994067,942155,51908,108,84519.485,0.9999940250817602,0,0.12,514.256,1.0,111
Q2,"{""size"": 8, ""type"": ""NICKEL"", ""region"": ""AMERICA""}",57541.9,57541.9,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343345,160000,10464,1634,28770.95,0.999982621661404,7,1.41,589.413,100.0,112
